"","carat","cut","color","clarity","total_depth_percent","table","price ($)","length (mm)","width (mm)","depth (mm)"
"346",1.62,"Good","I","VS1",59.6,65,9526,7.69,7.59,4.55
"347",0.8,"Good","G","SI2",63.7,58,2484,5.88,5.83,3.73
"348",0.76,"Good","J","VS1",62.6,61.9,2015,5.7,5.75,3.58
"349",1.41,"Good","H","VS2",63.8,60,9254,7.12,7.04,4.52
"350",0.9,"Good","E","SI2",63.2,57,3401,6.06,6.15,3.86
"351",1.01,"Good","F","VS2",60.8,61,6271,6.42,6.45,3.91
"352",1.51,"Good","H","SI2",62.8,60,7929,7.22,7.26,4.55
"353",1.2,"Good","I","VS1",59.6,61,5818,6.84,6.89,4.09
"354",0.7,"Good","F","SI2",63.3,58,1978,5.57,5.61,3.54
"355",2.03,"Good","J","VVS2",63.2,60,15898,7.88,7.94,5
"356",1.7,"Good","F","VS1",57.6,63,17330,7.86,7.81,4.51
"357",1.21,"Good","E","I1",64,57,4201,6.73,6.67,4.29
"358",1.01,"Good","G","SI2",63.8,56,4327,6.32,6.28,4.02
"359",1.11,"Good","D","SI1",57.8,61,6088,6.83,6.78,3.93
"360",1.01,"Good","E","SI1",56.9,61,4928,6.65,6.6,3.77
"361",0.73,"Good","E","VS1",60.8,61,3471,5.77,5.8,3.52
"362",0.7,"Good","F","SI1",64.3,62,1878,5.55,5.49,3.55
"363",0.7,"Good","H","VVS1",62.7,56,2877,5.6,5.66,3.53
"364",0.4,"Good","E","SI1",63.7,57,882,4.69,4.66,2.98
"365",1.01,"Good","D","VS2",63.1,60,6999,6.35,6.39,4.02
"366",0.3,"Good","I","SI1",63.5,57,394,4.24,4.26,2.7
"367",0.31,"Good","E","SI1",63.2,59,544,4.28,4.33,2.72
"368",0.63,"Good","H","VS1",62.9,54,1767,5.47,5.56,3.47
"369",0.37,"Good","G","VS1",63.1,56,746,4.57,4.59,2.89
"370",1,"Good","H","VVS1",63.5,60,6183,6.3,6.36,4.02
"371",1.27,"Good","F","I1",59.2,64,4324,7.06,6.99,4.16
"372",1.01,"Good","G","VS1",57.7,63,6613,6.55,6.65,3.81
"373",0.36,"Good","F","VS1",63.6,60,945,4.52,4.47,2.86
"374",0.41,"Good","D","SI1",63.8,56,738,4.68,4.72,3
"375",1.11,"Good","I","VS2",63.6,58,5054,6.57,6.52,4.16
"376",0.31,"Good","G","VS1",63.2,57,625,4.28,4.33,2.72
"377",1,"Good","G","VS2",63.4,57,5702,6.27,6.31,3.99
"378",0.3,"Good","J","VS2",63.4,57,368,4.22,4.26,2.69
"379",0.74,"Good","H","VS2",63,57,2327,5.72,5.77,3.62
"380",1.51,"Good","E","SI1",63.6,56,12490,7.34,7.23,4.63
"381",0.73,"Good","F","SI2",58.1,62,2191,5.92,5.93,3.44
"382",1.01,"Good","E","SI2",61.4,64,4285,6.29,6.42,3.9
"383",1,"Good","G","VVS2",61.6,60,7572,6.34,6.38,3.92
"384",1.01,"Good","G","VS1",63.2,58,6499,6.34,6.38,4.02
"385",1,"Good","E","VVS2",65.3,56,7226,6.19,6.24,4.06
"386",0.41,"Good","E","SI2",63.2,58,638,4.68,4.72,2.97
"387",0.46,"Good","F","IF",57.5,58,1806,5.12,5.18,2.96
"388",0.7,"Good","D","SI2",63.6,62,2247,5.61,5.55,3.55
"389",0.31,"Good","G","VVS2",63.4,59,707,4.26,4.29,2.71
"390",1,"Good","E","SI1",61.6,62,5784,6.35,6.42,3.93
"391",0.3,"Good","D","VS2",63.6,54,521,4.26,4.32,2.73
"392",0.33,"Good","D","VS2",63.6,56,625,4.38,4.42,2.8
"393",1.19,"Good","I","SI1",63.7,57.2,5236,6.69,6.73,4.28
"394",0.3,"Good","E","SI1",63.7,58,675,4.27,4.24,2.71
"395",0.52,"Good","F","SI2",58.7,64,1350,5.24,5.26,3.08
"396",1.51,"Good","I","SI1",63.9,63,7233,7.17,7.2,4.59
"397",0.5,"Good","F","VS2",63.2,58,1436,5,5.03,3.17
"398",0.47,"Good","I","VVS1",61.8,62,1093,4.94,4.97,3.06
"399",0.7,"Good","I","VS1",64.3,58,2271,5.56,5.61,3.59
"400",0.5,"Good","D","SI1",63.7,57,1235,5.01,4.94,3.17
"401",0.6,"Ideal","G","VS2",62.1,57,1625,5.36,5.43,3.35
"402",1,"Ideal","J","SI1",59.2,62,3929,6.47,6.5,3.84
"403",1.01,"Ideal","D","SI2",62.6,56,4872,6.4,6.34,3.99
"404",1.08,"Ideal","D","SI2",59.1,60,5177,6.7,6.76,3.98
"405",2.02,"Ideal","I","SI1",62.3,57,15785,8.07,8.11,5.04
"406",0.7,"Ideal","G","SI1",60.7,55,2744,5.76,5.8,3.51
"407",1.5,"Ideal","G","VS2",63,56,12821,7.32,7.26,4.59
"408",1.17,"Ideal","H","VS2",60.3,61,6324,6.84,6.8,4.11
"409",0.38,"Ideal","H","SI1",61.2,55.1,637,4.69,4.73,2.88
"410",1.16,"Ideal","J","SI1",60.7,57,3955,6.77,6.83,4.13
"411",0.71,"Ideal","G","VS1",60.7,57,3431,5.76,5.8,3.51
"412",1.21,"Ideal","G","VVS2",62,56,10378,6.8,6.84,4.23
"413",0.91,"Ideal","E","SI2",61.1,58,3723,6.25,6.29,3.83
"414",0.51,"Ideal","F","VVS2",60.4,56,2054,5.18,5.22,3.14
"415",0.31,"Ideal","D","VVS2",61.9,55,997,4.39,4.36,2.71
"416",0.9,"Ideal","H","VS2",62.5,53,4369,6.17,6.22,3.87
"417",1.01,"Ideal","E","SI1",62.6,57,5599,6.43,6.38,4.01
"418",0.36,"Ideal","F","VS2",61,56,759,4.61,4.64,2.82
"419",1.54,"Ideal","G","VVS1",61.4,56,18294,7.42,7.47,4.57
"420",0.34,"Ideal","G","VS2",61.5,55,765,4.5,4.47,2.76
"421",0.43,"Ideal","F","SI1",61.7,54,792,4.86,4.9,3.01
"422",0.77,"Ideal","D","SI2",62.1,56,2896,5.83,5.89,3.64
"423",1.76,"Ideal","F","SI2",62.6,55,9659,7.69,7.64,4.8
"424",1.15,"Ideal","I","VS1",61.7,56,7096,6.73,6.76,4.16
"425",2,"Ideal","J","VS2",62.3,55,13263,8.03,8.06,5.01
"426",0.41,"Ideal","G","VVS2",62.5,55,1007,4.75,4.76,2.97
"427",0.36,"Ideal","J","VS2",61.5,55,459,4.6,4.63,2.84
"428",0.38,"Ideal","H","SI1",61.5,56,680,4.67,4.69,2.88
"429",0.38,"Ideal","F","VS2",61.2,57,889,4.67,4.64,2.85
"430",0.42,"Ideal","F","SI1",61.6,55,838,4.85,4.83,2.98
"431",0.4,"Ideal","G","VS1",62.2,56,1125,4.74,4.72,2.94
"432",0.71,"Ideal","D","VS2",61.2,55,4029,5.74,5.78,3.53
"433",0.3,"Ideal","H","VS2",62.4,54,491,4.31,4.34,2.7
"434",0.55,"Ideal","G","VVS1",62,55,2042,5.25,5.27,3.26
"435",0.32,"Ideal","G","VVS2",62.2,55,730,4.41,4.43,2.75
"436",0.71,"Ideal","F","VS2",61.6,56,3516,5.74,5.77,3.54
"437",1.01,"Ideal","G","VS1",62.1,54,7262,6.41,6.43,3.99
"438",0.4,"Ideal","D","SI1",63,57,924,4.7,4.66,2.95
"439",0.46,"Ideal","J","VS2",61.4,56,746,4.96,5,3.06
"440",0.55,"Ideal","E","SI1",62.3,56,1551,5.23,5.26,3.27
"441",0.96,"Ideal","G","SI2",62,58,3945,6.3,6.34,3.92
"442",0.31,"Ideal","G","VVS2",62.7,57,907,4.33,4.31,2.71
"443",1.34,"Ideal","G","VVS1",62.2,56,11640,7.11,7.04,4.4
"444",0.33,"Ideal","I","IF",62.1,55,891,4.44,4.41,2.75
"445",1.05,"Ideal","G","VS2",60.8,57,6604,6.65,6.58,4.02
"446",2.18,"Ideal","J","VS2",60.3,57,16427,8.41,8.45,5.08
"447",0.41,"Ideal","F","VVS1",60.3,56,1356,4.85,4.8,2.91
"448",0.71,"Ideal","E","SI1",61.9,55,3360,5.74,5.77,3.56
"449",0.4,"Ideal","J","VS1",60.4,56,641,4.77,4.8,2.89
"450",1.14,"Ideal","F","VVS1",62.2,56,11844,6.69,6.67,4.16
"451",0.72,"Ideal","E","SI1",61,56,2976,5.82,5.85,3.56
"452",0.51,"Ideal","G","SI2",62.1,56,1148,5.1,5.13,3.18
"453",0.3,"Ideal","D","VVS2",61.7,57,814,4.33,4.36,2.68
"454",0.41,"Ideal","G","VVS2",62.9,56,1076,4.74,4.7,2.97
"455",1.39,"Ideal","I","VVS2",61.6,53,8271,7.21,7.22,4.44
"456",0.37,"Ideal","E","SI1",61.9,56,649,4.57,4.6,2.84
"457",0.31,"Ideal","G","VVS1",62.5,57,816,4.31,4.36,2.71
"458",0.91,"Ideal","I","VS1",62.4,57,3954,6.17,6.21,3.86
"459",0.32,"Ideal","E","SI2",61.6,56,427,4.4,4.43,2.72
"460",0.31,"Ideal","D","VVS2",61.2,55,1034,4.37,4.42,2.69
"461",0.31,"Ideal","H","VVS1",62.2,54,687,4.34,4.37,2.71
"462",0.37,"Ideal","E","SI1",61.4,56,777,4.65,4.6,2.84
"463",0.24,"Ideal","F","VVS2",61.6,54,552,4,4.09,2.49
"464",0.31,"Ideal","G","IF",62.5,56,871,4.33,4.37,2.71
"465",0.39,"Ideal","J","VS2",61.8,55.9,586,4.66,4.69,2.89
"466",1.68,"Ideal","I","VS2",62.1,57,10800,7.6,7.54,4.7
"467",0.72,"Ideal","G","VS2",61,55,3547,5.81,5.83,3.55
"468",0.5,"Ideal","D","SI1",62.7,57,1272,5.06,5.08,3.18
"469",1.02,"Ideal","J","SI2",60.3,54,2879,6.53,6.5,3.93
"470",0.39,"Ideal","I","VS1",62.5,54,816,4.67,4.7,2.92
"471",0.36,"Ideal","E","VS1",62,54.2,863,4.55,4.58,2.83
"472",1.37,"Ideal","I","VS2",61.6,55,8000,7.13,7.16,4.4
"473",1.23,"Ideal","I","SI2",62.3,55,4773,6.85,6.82,4.26
"474",0.71,"Ideal","J","SI1",61.6,57,1889,5.72,5.75,3.53
"475",0.32,"Ideal","G","VVS2",62.1,54,708,4.4,4.42,2.74
"476",0.35,"Ideal","D","SI1",60.7,57,827,4.57,4.53,2.76
"477",0.4,"Ideal","G","IF",63.1,54,1239,4.69,4.73,2.97
"478",0.7,"Ideal","H","VVS2",61,56,3325,5.75,5.78,3.52
"479",0.54,"Ideal","F","VS2",61.3,57,2333,5.29,5.24,3.23
"480",0.42,"Ideal","D","VVS2",61.7,57,1132,4.8,4.82,2.97
"481",0.35,"Ideal","E","VS1",61.9,56,1063,4.53,4.51,2.8
"482",0.77,"Ideal","D","SI1",61.4,56,2996,5.9,5.93,3.63
"483",0.33,"Ideal","H","VS2",60.7,57,521,4.46,4.5,2.72
"484",1.52,"Ideal","G","SI2",61.3,57,8852,7.39,7.36,4.52
"485",1.02,"Ideal","G","VS2",62.8,57,6169,6.46,6.41,4.04
"486",0.33,"Ideal","E","VS2",61,57,723,4.43,4.46,2.71
"487",0.59,"Ideal","F","VVS2",62,54,2679,5.36,5.38,3.33
"488",0.71,"Ideal","E","SI2",62.3,57,2190,5.66,5.74,3.55
"489",0.37,"Ideal","E","VVS2",62.2,56,1082,4.63,4.6,2.87
"490",0.36,"Ideal","I","VS2",61.8,55,648,4.61,4.58,2.84
"491",1.05,"Ideal","G","SI1",61.9,56,5361,6.51,6.55,4.04
"492",0.3,"Ideal","E","VVS1",61.2,58,838,4.28,4.31,2.63
"493",0.72,"Ideal","E","VS2",62.8,57,2835,5.71,5.73,3.59
"494",1.09,"Ideal","E","VS1",61.3,56,8809,6.71,6.66,4.1
"495",0.53,"Ideal","E","VVS2",60.5,57,2456,5.24,5.28,3.18
"496",1.02,"Ideal","H","SI1",61.6,57,4540,6.43,6.5,3.98
"497",0.36,"Ideal","F","VS2",60.9,57,726,4.58,4.61,2.8
"498",0.72,"Ideal","F","SI2",60.8,56,2674,5.82,5.79,3.53
"499",0.32,"Ideal","F","VVS1",61.4,56,926,4.38,4.42,2.7
"500",0.34,"Ideal","E","VS2",62.5,55,956,4.5,4.46,2.8
"501",0.4,"Ideal","F","VVS1",61.5,56,1206,4.77,4.73,2.92
"502",0.31,"Ideal","G","SI2",60.5,57,523,4.4,4.36,2.65
"503",0.46,"Ideal","J","IF",61.8,56,1221,4.98,4.95,3.07
"504",1.02,"Ideal","H","SI2",61.8,55,4284,6.51,6.47,4.01
"505",1.23,"Ideal","H","I1",61.6,55,3168,6.92,6.87,4.25
"506",1.23,"Ideal","J","VS2",61.5,57,5030,6.85,6.9,4.23
"507",0.7,"Ideal","F","VS1",62,55,2751,5.74,5.71,3.55
"508",0.46,"Ideal","H","VS2",61.5,55,1252,4.98,5.01,3.07
"509",1.05,"Ideal","H","VS2",61.4,55,5993,6.53,6.57,4.02
"510",0.63,"Ideal","F","VS2",61.2,56,2182,5.56,5.51,3.39
"511",1.31,"Ideal","G","VS1",61.5,57,10071,7.06,7.02,4.33
"512",0.57,"Ideal","D","VS2",60.3,57,1718,5.42,5.4,3.26
"513",2.01,"Ideal","H","SI2",62.3,57,12762,8.1,8.04,5.03
"514",0.97,"Ideal","F","SI1",61.7,56,3884,6.37,6.32,3.92
"515",1.04,"Ideal","I","SI1",61.9,54,4941,6.51,6.57,4.05
"516",0.6,"Ideal","I","SI1",62.1,55,1390,5.39,5.42,3.35
"517",0.32,"Ideal","G","VS2",61.4,56,561,4.37,4.39,2.69
"518",0.32,"Ideal","G","VS1",61.2,56,645,4.39,4.43,2.7
"519",0.44,"Ideal","D","VVS2",61.8,54.8,1408,4.89,4.92,3.03
"520",0.73,"Ideal","G","VS2",61.7,56,3154,5.79,5.81,3.58
"521",0.33,"Ideal","D","SI1",62.5,54,608,4.43,4.44,2.77
"522",1.24,"Ideal","H","VS2",60.1,59,7701,6.99,7.03,4.21
"523",0.42,"Ideal","G","VS1",62,55,984,4.83,4.78,2.98
"524",0.3,"Ideal","H","VVS2",61.2,57,776,4.32,4.31,2.64
"525",1.02,"Ideal","H","SI1",60,59,4724,6.56,6.55,3.93
"526",1.11,"Ideal","F","VS2",61.9,55,7823,6.62,6.66,4.11
"527",0.71,"Ideal","J","VS1",61.9,55,2034,5.75,5.69,3.54
"528",1.01,"Ideal","E","VVS1",62.2,57,10887,6.38,6.44,3.99
"529",0.41,"Ideal","G","VS2",61.6,54,900,4.81,4.84,2.97
"530",0.34,"Ideal","H","VVS2",61.7,55,667,4.48,4.5,2.77
"531",1.7,"Ideal","G","VS1",62.9,57,13605,7.59,7.52,4.75
"532",1,"Ideal","F","VS1",61.9,57,7526,6.41,6.39,3.96
"533",0.41,"Ideal","G","VS2",61.4,55,1061,4.8,4.75,2.93
"534",1.02,"Ideal","I","SI2",62.8,58,4189,6.37,6.41,4.01
"535",0.56,"Ideal","E","VS1",61.8,55,2117,5.33,5.28,3.28
"536",0.72,"Ideal","H","VS1",61.5,55,3274,5.77,5.85,3.56
"537",0.35,"Ideal","D","SI1",62.3,55,644,4.51,4.54,2.82
"538",0.7,"Ideal","I","VS1",61.8,55,2469,5.67,5.72,3.52
"539",0.74,"Ideal","G","SI1",61.9,56,2654,5.8,5.83,3.6
"540",1.16,"Ideal","G","VVS2",62,56,8646,6.71,6.75,4.17
"541",1.01,"Ideal","F","SI1",62.5,56,4969,6.38,6.42,4
"542",0.33,"Ideal","G","VVS1",61.8,59,802,4.45,4.48,2.76
"543",0.3,"Ideal","D","SI1",61.7,56,552,4.31,4.35,2.67
"544",0.32,"Ideal","G","VVS1",62.4,56,842,4.36,4.39,2.73
"545",1.02,"Ideal","E","SI1",60.7,57,5055,6.55,6.51,3.97
"546",0.73,"Ideal","G","VVS2",62.1,56,3396,5.78,5.81,3.59
"547",0.52,"Ideal","E","SI1",61,57,1682,5.22,5.2,3.18
"548",1.38,"Ideal","I","SI2",61.8,57,5796,7.14,7.1,4.4
"549",0.31,"Ideal","H","VVS2",62.4,56,802,4.38,4.34,2.72
"550",0.7,"Ideal","D","SI1",62,54,2726,5.73,5.76,3.56
"551",0.53,"Ideal","G","VVS2",60,57,1865,5.27,5.29,3.17
"552",0.32,"Ideal","F","VS1",61.3,55,676,4.43,4.46,2.72
"553",0.31,"Ideal","G","VVS2",62.4,56,907,4.36,4.33,2.71
"554",0.34,"Ideal","D","VS1",62.6,56,961,4.52,4.49,2.82
"555",0.38,"Ideal","H","VVS2",62.1,56,1031,4.64,4.67,2.89
"556",0.54,"Ideal","F","VVS2",61.2,55,2216,5.25,5.27,3.22
"557",0.26,"Ideal","E","VVS1",61.7,56,635,4.09,4.11,2.53
"558",0.43,"Ideal","F","SI1",61.7,54,1016,4.9,4.86,3.01
"559",0.38,"Ideal","I","VS1",61.5,53.9,703,4.66,4.7,2.89
"560",0.36,"Ideal","H","VS1",61.8,57,631,4.56,4.6,2.83
"561",1.09,"Ideal","G","VVS2",61.5,55,8057,6.66,6.61,4.08
"562",0.31,"Ideal","F","VVS1",62.2,54,840,4.36,4.39,2.72
"563",0.5,"Ideal","F","VS2",61.2,57,1436,5.1,5.13,3.13
"564",0.7,"Ideal","F","VVS2",61.9,54.8,3741,5.68,5.72,3.53
"565",0.7,"Ideal","E","VS2",60.8,56,3504,5.74,5.78,3.5
"566",1.06,"Ideal","G","VS2",61.3,57,6809,6.56,6.58,4.03
"567",1.26,"Ideal","H","SI1",61.6,56,8110,6.88,6.93,4.26
"568",0.9,"Ideal","G","VVS2",61.9,56,5242,6.22,6.15,3.83
"569",1.51,"Ideal","I","VS2",60.6,56,9442,7.44,7.47,4.52
"570",0.92,"Ideal","G","SI2",62.4,56,4068,6.21,6.23,3.88
"571",1.22,"Ideal","F","VVS1",61.2,57,13029,6.88,6.92,4.22
"572",0.37,"Ideal","F","SI1",61.6,56,746,4.61,4.65,2.85
"573",1.3,"Ideal","H","VS1",62.2,57,5962,7.01,6.98,4.35
"574",0.41,"Ideal","E","VS1",62.7,55,1153,4.76,4.72,2.97
"575",0.4,"Ideal","I","VS1",63,56,945,4.72,4.68,2.96
"576",0.31,"Ideal","D","SI1",62.4,53,732,4.35,4.33,2.71
"577",0.4,"Ideal","F","VS1",62,56,890,4.73,4.75,2.94
"578",0.99,"Ideal","F","SI1",62.1,58,6038,6.33,6.4,3.95
"579",1.52,"Ideal","G","VS2",61.3,59,12161,7.35,7.4,4.52
"580",0.32,"Ideal","E","VVS1",62.5,56,814,4.38,4.42,2.75
"581",0.53,"Ideal","F","VVS1",60.9,57,2830,5.23,5.29,3.19
"582",0.51,"Ideal","G","VS1",62.5,57,1656,5.07,5.14,3.19
"583",1.01,"Ideal","E","SI2",62.2,54,4751,6.43,6.39,3.99
"584",0.32,"Ideal","G","VVS2",61.9,57,936,4.41,4.38,2.72
"585",0.32,"Ideal","G","VVS2",62.6,57,936,4.38,4.34,2.73
"586",0.41,"Ideal","E","VS1",61.3,55,990,4.8,4.83,2.95
"587",0.51,"Ideal","D","VS2",62.1,56,1882,5.16,5.11,3.19
"588",0.52,"Ideal","E","VS2",61.2,56,1689,5.16,5.23,3.18
"589",0.42,"Ideal","H","VVS2",62.4,56,984,4.8,4.78,2.99
"590",0.4,"Ideal","E","SI1",61.2,57,945,4.74,4.7,2.89
"591",0.3,"Ideal","H","SI1",63,54,540,4.3,4.27,2.7
"592",2.27,"Ideal","I","SI2",60.5,55,12939,8.63,8.53,5.19
"593",0.28,"Ideal","E","VVS2",60.3,57,828,4.25,4.21,2.55
"594",1.03,"Ideal","F","VVS1",62.1,56.3,10619,6.43,6.5,4.02
"595",0.56,"Ideal","D","SI1",62.3,56,1814,5.33,5.26,3.3
"596",0.41,"Ideal","I","VS1",61.8,53,753,4.81,4.84,2.98
"597",1.29,"Ideal","G","VVS2",62.4,57,10614,6.94,6.97,4.34
"598",0.43,"Ideal","I","VVS2",62.6,57,874,4.79,4.82,3.01
"599",1.02,"Ideal","G","VVS2",62.1,57,8401,6.43,6.45,4
"600",0.4,"Ideal","J","VVS2",61.8,55,662,4.76,4.79,2.95
"601",0.44,"Premium","E","VS2",60.4,59,1073,4.93,4.9,2.97
"602",1.08,"Premium","G","SI2",62.2,56,4627,6.62,6.54,4.09
"603",1.7,"Premium","H","SI1",62.5,60,11709,7.54,7.49,4.7
"604",0.41,"Premium","F","VS1",60.7,56,1076,4.82,4.77,2.91
"605",0.9,"Premium","H","VS1",63,59,4064,6.13,6.1,3.85
"606",0.71,"Premium","E","VS2",62.1,59,2711,5.68,5.72,3.54
"607",1.52,"Premium","G","VS2",62.8,60,13768,7.26,7.22,4.55
"608",1.57,"Premium","G","SI1",59.5,58,10914,7.56,7.61,4.51
"609",1.2,"Premium","J","SI2",59.6,62,3951,6.95,6.9,4.13
"610",1.07,"Premium","H","VS2",58.9,58,4830,6.7,6.65,3.93
"611",1.65,"Premium","F","SI2",60.5,61,9693,7.7,7.65,4.64
"612",0.33,"Premium","G","VVS1",61.5,59,810,4.42,4.46,2.73
"613",0.62,"Premium","E","VVS2",62,56,2618,5.48,5.42,3.38
"614",0.41,"Premium","H","SI1",60.5,58,876,4.85,4.81,2.92
"615",2.29,"Premium","J","IF",61.4,60,18426,8.45,8.49,5.2
"616",0.59,"Premium","F","SI1",62.4,59,1561,5.37,5.33,3.34
"617",0.4,"Premium","E","VS2",62.2,59,912,4.71,4.74,2.94
"618",0.78,"Premium","D","VS2",63,58,3473,5.86,5.8,3.67
"619",1.55,"Premium","H","VS2",60.4,60,11048,7.39,7.44,4.48
"620",1.32,"Premium","F","SI2",60.6,60,6541,7.05,7.1,4.29
"621",1.13,"Premium","H","SI1",62.3,58,5101,6.67,6.68,4.16
"622",0.5,"Premium","E","VS2",60.1,61,1420,5.2,5.15,3.11
"623",2.39,"Premium","I","VS1",61.2,60,17642,8.63,8.6,5.27
"624",0.91,"Premium","F","SI2",61.4,60,3682,6.21,6.23,3.82
"625",0.71,"Premium","F","SI1",59,61,2528,5.88,5.84,3.46
"626",1.58,"Premium","H","VS1",61.7,59,11491,7.48,7.42,4.6
"627",0.34,"Premium","G","SI1",60.8,59,650,4.56,4.46,2.74
"628",1.04,"Premium","D","SI2",61.6,58,4811,6.52,6.46,4
"629",0.38,"Premium","D","VS2",58.8,61,1117,4.77,4.72,2.79
"630",0.75,"Premium","G","SI2",63,58,2250,5.81,5.77,3.62
"631",0.34,"Premium","I","VS2",61.8,58,612,4.51,4.48,2.78
"632",0.9,"Premium","D","SI2",61,61,3312,6.17,6.15,3.76
"633",0.39,"Premium","F","IF",58,61,1290,4.83,4.79,2.79
"634",2,"Premium","D","SI2",61.6,59,17835,8.2,8.09,5.02
"635",1.52,"Premium","G","VS2",62.6,55,12958,7.39,7.28,4.59
"636",1.5,"Premium","E","VS2",59.4,62,12587,7.48,7.4,4.42
"637",1.1,"Premium","F","SI2",62.1,56,3918,6.68,6.56,4.12
"638",0.72,"Premium","E","SI1",59.5,59,2732,5.87,5.83,3.48
"639",0.56,"Premium","E","VS2",61.8,56,1915,5.31,5.28,3.27
"640",1.09,"Premium","D","SI2",60.3,60,5186,6.68,6.61,4.01
"641",1,"Premium","I","SI1",58.5,59,3808,6.56,6.54,3.83
"642",2.29,"Premium","J","IF",61.4,60,18594,8.49,8.45,5.2
"643",0.31,"Premium","I","VS1",59.2,60,628,4.45,4.4,2.62
"644",2.04,"Premium","F","SI2",60.2,58,18066,8.17,8.24,4.94
"645",1.51,"Premium","E","VS2",62.2,58,13757,7.33,7.27,4.54
"646",1.11,"Premium","H","SI2",61.5,59,4212,6.61,6.56,4.05
"647",0.43,"Premium","E","SI2",60.8,58,716,4.86,4.88,2.96
"648",0.31,"Premium","G","VVS1",61.4,58,1046,4.35,4.32,2.66
"649",0.9,"Premium","I","VVS2",60.9,59,3730,6.25,6.22,3.8
"650",1,"Premium","F","VVS2",60.6,54,8924,6.56,6.52,3.96
"651",2.03,"Premium","J","SI2",61.7,61,12078,8.18,8.04,5
"652",0.32,"Premium","F","VS2",60.2,59,828,4.43,4.4,2.66
"653",1.35,"Premium","J","SI1",60.9,59,5546,7.07,7.12,4.32
"654",1.02,"Premium","D","SI2",60.2,58,5257,6.56,6.53,3.94
"655",0.38,"Premium","F","VVS1",59.2,58,1257,4.8,4.76,2.83
"656",1.52,"Premium","H","VS2",59.4,59,11206,7.49,7.45,4.44
"657",2.01,"Premium","H","SI1",61.4,56,18295,8.19,8.13,5.01
"658",1.07,"Premium","G","VS2",61.9,58,6779,6.54,6.55,4.05
"659",0.31,"Premium","D","VS2",61.7,59,942,4.34,4.31,2.67
"660",1.55,"Premium","F","VS1",62,60,15966,7.4,7.31,4.56
"661",0.9,"Premium","F","VS1",59,58,4687,6.33,6.29,3.72
"662",1.23,"Premium","G","SI2",58.9,62,4408,7.03,6.97,4.12
"663",1.09,"Premium","E","SI1",62.7,58,5237,6.6,6.55,4.12
"664",0.31,"Premium","G","VVS1",61.1,58,1046,4.35,4.32,2.65
"665",2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
"666",2,"Premium","I","VS2",61.8,56,17716,8.11,8.04,4.99
"667",1,"Premium","G","IF",62.2,61,7822,6.41,6.38,3.98
"668",1.03,"Premium","E","SI2",61,60,4441,6.46,6.53,3.96
"669",1.01,"Premium","F","SI2",58.8,61,4468,6.53,6.46,3.82
"670",1.51,"Premium","F","SI1",60.7,58,11666,7.41,7.38,4.49
"671",0.28,"Premium","E","VVS1",61.1,60,828,4.21,4.17,2.56
"672",1.55,"Premium","D","VS2",61.5,58,16137,7.51,7.48,4.61
"673",2,"Premium","G","SI2",60.4,61,17136,8.21,8.12,4.93
"674",2.01,"Premium","J","SI1",62.3,59,12048,8.03,7.97,4.98
"675",0.72,"Premium","G","VVS2",61.6,58,2720,5.78,5.81,3.57
"676",0.5,"Premium","E","VS2",61.3,58,1746,5.12,5.06,3.12
"677",0.55,"Premium","I","VVS1",61.3,59,1712,5.3,5.27,3.24
"678",0.59,"Premium","D","SI2",61.2,60,1572,5.42,5.37,3.3
"679",0.41,"Premium","F","VS1",62.4,60,1007,4.71,4.77,2.96
"680",1.57,"Premium","I","SI2",62.2,60,6401,7.43,7.36,4.6
