"","carat","cut","color","clarity","total_depth_percent","table","price ($)","length (mm)","width (mm)","depth (mm)"
"681",0.5,"Premium","E","SI2",61.7,58,1240,5.12,5.06,3.14
"682",1,"Premium","F","VVS2",59.9,60,8448,6.46,6.5,3.88
"683",0.4,"Premium","D","VS2",62.4,59,1050,4.72,4.7,2.94
"684",0.44,"Premium","E","SI1",62.2,60,1040,4.86,4.79,3
"685",1.1,"Premium","I","SI1",61.2,61,4725,6.66,6.61,4.01
"686",0.3,"Premium","H","VS1",62.3,58,526,4.26,4.28,2.66
"687",1.16,"Premium","G","SI2",62.6,58,4969,6.72,6.66,4.19
"688",1.02,"Premium","H","SI1",62.6,59,4688,6.43,6.38,4.01
"689",0.5,"Premium","E","VS2",60.6,59,1654,5.17,5.06,3.1
"690",0.3,"Premium","D","VS2",60.6,58,911,4.36,4.32,2.63
"691",0.33,"Premium","G","VS2",61.3,61,693,4.47,4.43,2.73
"692",0.33,"Premium","G","VVS2",60.6,58,752,4.47,4.5,2.72
"693",1.04,"Premium","D","SI2",58.2,59,4330,6.67,6.62,3.87
"694",1.21,"Premium","E","VVS2",61.9,58,11395,6.84,6.79,4.22
"695",1.33,"Premium","I","SI2",62.3,59,5765,7.01,6.98,4.36
"696",0.33,"Premium","D","VS2",61.1,56,1069,4.54,4.5,2.76
"697",0.4,"Premium","F","VVS2",62.2,59,1088,4.65,4.7,2.91
"698",2.01,"Premium","J","VS2",60.4,59,13619,8.1,8.15,4.91
"699",0.54,"Premium","I","VVS1",60.8,61,1637,5.28,5.22,3.19
"700",0.97,"Premium","G","SI1",62.6,58,4400,6.24,6.18,3.89
"701",1.01,"Premium","G","VS1",61.7,56,6882,6.53,6.46,4.01
"702",0.9,"Premium","I","VS1",60.7,58,3145,6.3,6.19,3.79
"703",0.68,"Premium","G","SI1",61.9,60,1749,5.66,5.62,3.49
"704",0.34,"Premium","G","VS1",62.2,55,821,4.52,4.48,2.8
"705",1.62,"Premium","F","SI1",62.6,58,13177,7.48,7.53,4.7
"706",1.51,"Premium","J","SI1",61.2,62,6976,7.36,7.32,4.49
"707",0.64,"Premium","F","SI1",61.2,58,1816,5.6,5.54,3.41
"708",1.4,"Premium","E","SI2",62.4,57,6147,7.17,7.12,4.46
"709",2.01,"Premium","I","VS2",60.3,58,17826,8.22,8.16,4.94
"710",0.41,"Premium","E","VS1",60.7,59,1030,4.79,4.77,2.9
"711",1.51,"Premium","I","VVS2",61.1,60,10623,7.33,7.36,4.49
"712",0.7,"Premium","F","VS2",59.5,58,2838,5.85,5.75,3.45
"713",1.6,"Premium","H","VS1",62.5,58,12084,7.47,7.37,4.64
"714",1.22,"Premium","F","VVS2",63,56,10494,6.88,6.76,4.3
"715",1.6,"Premium","G","VS2",62.2,59,11489,7.45,7.48,4.64
"716",1.04,"Premium","H","I1",61.6,61,3261,6.47,6.45,3.98
"717",1.02,"Premium","G","SI2",60.7,56,3904,6.56,6.51,3.97
"718",0.7,"Premium","E","VS2",62.3,59,2737,5.7,5.64,3.53
"719",0.3,"Premium","D","SI2",60.9,58,447,4.29,4.32,2.62
"720",1.01,"Premium","F","SI2",62.6,60,4497,6.37,6.35,3.98
"721",1.31,"Premium","I","VS2",61.9,59,6438,7.02,6.98,4.33
"722",0.54,"Premium","E","VS2",61.3,59,1993,5.26,5.21,3.21
"723",0.51,"Premium","F","SI1",61.3,59,1421,5.19,5.15,3.17
"724",1.56,"Premium","F","SI2",58.8,59,7950,7.76,7.61,4.52
"725",1.51,"Premium","E","SI1",63,58,11873,7.33,7.27,4.6
"726",0.42,"Premium","D","SI2",62.1,59,898,4.82,4.78,2.98
"727",1.23,"Premium","H","VS2",59.5,59,7431,7.08,7.01,4.19
"728",1.04,"Premium","F","VS2",59.6,62,6278,6.62,6.56,3.93
"729",0.8,"Premium","H","SI1",61.5,58,2760,5.97,5.93,3.66
"730",0.74,"Premium","F","VS2",61.9,56,2805,5.8,5.77,3.58
"731",1.02,"Premium","H","SI1",59.1,60,4037,6.59,6.54,3.88
"732",0.3,"Premium","D","VS2",60.6,58,710,4.32,4.36,2.63
"733",1.2,"Premium","H","SI1",62.4,59,5592,6.72,6.68,4.18
"734",0.31,"Premium","H","VS1",59.7,58,544,4.41,4.43,2.64
"735",1.1,"Premium","H","VS1",61.3,58,5673,6.66,6.61,4.07
"736",0.71,"Premium","D","SI2",61.7,59,2768,5.71,5.67,3.51
"737",0.35,"Premium","F","SI1",61.7,58,748,4.54,4.51,2.79
"738",1.04,"Premium","F","SI1",61.5,59,5504,6.54,6.46,4
"739",1.27,"Premium","I","SI1",60.9,59,5588,6.94,6.99,4.24
"740",0.95,"Premium","F","SI1",62.3,60,4682,6.3,6.26,3.91
"741",1,"Premium","G","VS1",59.1,61,6552,6.54,6.48,3.85
"742",0.3,"Premium","D","SI1",62.7,60,709,4.26,4.23,2.66
"743",0.73,"Premium","F","I1",59.3,61,1207,5.88,5.75,3.46
"744",0.71,"Premium","E","SI2",62.1,62,2215,5.7,5.67,3.53
"745",0.5,"Premium","E","SI2",61.3,56,1240,5.13,5.08,3.13
"746",0.32,"Premium","F","VS2",61,61,828,4.41,4.38,2.68
"747",0.74,"Premium","E","SI2",59,55,2447,6.03,5.94,3.53
"748",0.53,"Premium","F","VS2",61.6,57.1,1712,5.15,5.21,3.19
"749",1.26,"Premium","H","SI2",58.6,59,5998,7.09,7.04,4.14
"750",1.06,"Premium","F","SI2",62.6,59,3901,6.51,6.47,4.06
"751",1.51,"Premium","F","SI1",62.2,58,11374,7.32,7.27,4.54
"752",0.41,"Premium","I","VVS2",59.9,58,827,4.81,4.87,2.9
"753",0.39,"Premium","G","VS2",59.8,61,942,4.75,4.72,2.83
"754",1.53,"Premium","E","VS2",61.6,58,16049,7.35,7.32,4.52
"755",0.34,"Premium","J","VS1",61.7,58,574,4.47,4.41,2.74
"756",0.36,"Premium","E","SI1",62.2,59,589,4.53,4.57,2.83
"757",0.49,"Premium","F","SI1",60.5,60,1072,5.1,5.08,3.08
"758",0.44,"Premium","I","VVS1",60.8,57,990,4.93,4.88,2.98
"759",0.71,"Premium","E","SI1",61.1,57,2629,5.73,5.69,3.49
"760",0.32,"Premium","D","VS2",62.9,59,842,4.39,4.36,2.75
"761",1.01,"Premium","E","SI2",60.8,58,4089,6.49,6.46,3.94
"762",1,"Premium","F","VS2",62.4,60,6352,6.35,6.38,3.97
"763",1.05,"Premium","H","SI2",63,59,4234,6.48,6.44,4.07
"764",1.54,"Premium","F","VS2",62.8,58,14188,7.33,7.29,4.59
"765",1.11,"Premium","G","SI1",62.3,58,5408,6.61,6.52,4.09
"766",1.29,"Premium","F","VS1",59.3,60,10437,7.14,7.1,4.22
"767",0.35,"Premium","E","SI2",61,58,491,4.52,4.56,2.77
"768",0.31,"Premium","D","SI1",62.1,58,732,4.33,4.3,2.68
"769",1.3,"Premium","G","VS2",60.9,60,9216,7.04,6.99,4.27
"770",0.9,"Premium","E","VS2",61.4,57,4435,6.19,6.16,3.79
"771",0.7,"Premium","D","SI1",62.6,58,2550,5.67,5.6,3.53
"772",0.96,"Premium","E","SI2",60.4,56,2961,6.32,6.23,3.79
"773",1.51,"Premium","J","VVS2",62.9,58,8930,7.33,7.21,4.57
"774",1.52,"Premium","H","SI2",62.6,60,6086,7.34,7.3,4.58
"775",1.01,"Premium","E","VVS2",62.4,58,9711,6.42,6.36,3.99
"776",2,"Premium","I","VS1",60.8,59,18795,8.13,8.02,4.91
"777",0.74,"Premium","H","SI1",62.4,58,2300,5.75,5.7,3.57
"778",1.03,"Premium","H","SI1",62.2,60,4932,6.43,6.4,3.99
"779",1,"Premium","H","VS2",58.4,60,4514,6.36,6.3,3.7
"780",0.91,"Premium","F","VVS2",63,56,5708,6.17,6.12,3.87
"781",1.34,"Premium","H","SI1",62.4,57,6814,7.07,6.96,4.38
"782",0.32,"Premium","F","VS2",61.7,58,645,4.38,4.41,2.71
"783",0.32,"Premium","E","VS2",61.3,59,702,4.35,4.39,2.68
"784",0.41,"Premium","E","VS1",60.6,59,1153,4.8,4.77,2.9
"785",0.26,"Premium","H","VVS2",62.4,58,600,4.07,4.04,2.53
"786",1.54,"Premium","I","VS1",61.6,58,10164,7.39,7.42,4.56
"787",1.02,"Premium","F","SI2",61.1,59,4541,6.45,6.41,3.93
"788",0.51,"Premium","F","SI1",59.4,61,1349,5.26,5.21,3.11
"789",0.32,"Premium","I","SI1",62.9,58,554,4.35,4.33,2.73
"790",0.55,"Premium","G","VS1",59.4,62,1792,5.36,5.32,3.17
"791",0.4,"Premium","D","SI1",63,57,924,4.7,4.66,2.95
"792",1.01,"Premium","F","SI2",62.2,59,4416,6.38,6.42,3.98
"793",0.34,"Premium","G","VS2",60.2,58,765,4.55,4.52,2.73
"794",1.01,"Premium","I","SI2",60.5,60,4072,6.52,6.5,3.94
"795",0.3,"Premium","G","VVS1",60.5,59,1013,4.36,4.33,2.63
"796",0.48,"Premium","F","VS2",60.1,59,1294,5.12,5.1,3.07
"797",0.71,"Premium","D","VS2",62.7,58,2683,5.67,5.53,3.54
"798",0.56,"Premium","H","VS1",60.1,58,1585,5.4,5.35,3.23
"799",0.33,"Premium","G","VVS2",60.9,59,965,4.49,4.45,2.72
"800",1.07,"Premium","E","SI2",62.9,59,5033,6.55,6.46,4.09
"801",0.24,"Very Good","E","VVS1",63.5,57,492,3.94,3.96,2.51
"802",2.18,"Very Good","G","SI2",63.1,58,16878,8.29,8.23,5.21
"803",0.41,"Very Good","D","SI1",63.4,56,907,4.76,4.73,3.01
"804",1.21,"Very Good","I","VS1",61.2,58,5866,6.85,6.91,4.21
"805",1.01,"Very Good","J","VS2",60.6,59,4337,6.42,6.45,3.9
"806",1.29,"Very Good","F","SI2",63.4,57,4977,6.92,6.77,4.35
"807",1.15,"Very Good","H","VS2",63.1,56,5750,6.7,6.62,4.2
"808",0.93,"Very Good","E","SI1",63.1,57,4531,6.19,6.17,3.9
"809",0.53,"Very Good","E","VS2",63.5,59,1678,5.17,5.13,3.27
"810",1.07,"Very Good","E","SI2",60.5,61,4609,6.55,6.61,3.98
"811",2.01,"Very Good","I","VS1",61.5,62,15335,7.94,8.07,4.92
"812",0.56,"Very Good","F","VS2",60.8,57,1706,5.29,5.33,3.23
"813",0.46,"Very Good","I","VVS1",62.9,57,1163,4.91,4.95,3.1
"814",0.57,"Very Good","E","VS2",61,57,1785,5.33,5.35,3.26
"815",1.71,"Very Good","H","SI1",60.8,56,13169,7.77,7.73,4.71
"816",1.01,"Very Good","E","SI1",58.2,59,5132,6.54,6.59,3.82
"817",1.01,"Very Good","F","VVS1",62.8,59,9474,6.37,6.43,4.02
"818",2.01,"Very Good","F","SI2",60.3,60,16728,8.08,8.11,4.88
"819",0.3,"Very Good","I","VS1",62,58,473,4.25,4.3,2.65
"820",0.3,"Very Good","E","SI1",63.2,57,675,4.3,4.25,2.7
"821",0.43,"Very Good","G","VS2",59.1,60,867,4.88,4.93,2.9
"822",0.27,"Very Good","H","VVS2",62.1,57,486,4.1,4.15,2.56
"823",1.2,"Very Good","F","SI1",63.5,57,6872,6.65,6.74,4.25
"824",1.02,"Very Good","F","VS2",62.8,57,6911,6.36,6.41,4.01
"825",1.01,"Very Good","I","SI2",61.4,59,3833,6.42,6.45,3.95
"826",0.91,"Very Good","G","SI2",63.4,60,3891,6.11,6.06,3.86
"827",2.02,"Very Good","G","SI2",63.3,57,9853,8.03,7.96,5.06
"828",0.31,"Very Good","G","VS1",62,59,625,4.28,4.3,2.66
"829",0.52,"Very Good","F","VS2",61.1,56,1591,5.21,5.24,3.19
"830",0.41,"Very Good","F","VS1",58.6,61,1007,4.83,4.87,2.84
"831",0.57,"Very Good","E","VVS2",59.6,58,2469,5.39,5.41,3.22
"832",0.3,"Very Good","H","VS1",60.1,61,526,4.3,4.32,2.59
"833",1.05,"Very Good","H","SI1",63.1,60,4692,6.49,6.42,4.07
"834",0.5,"Very Good","G","VS1",61.3,58,1592,5.03,5.09,3.1
"835",0.34,"Very Good","H","VVS1",62.9,57,775,4.44,4.47,2.8
"836",0.34,"Very Good","E","SI1",63.3,57,714,4.47,4.44,2.82
"837",0.74,"Very Good","E","VS1",63.1,58,2849,5.75,5.73,3.62
"838",0.4,"Very Good","F","VVS1",63.7,58,1116,4.65,4.68,2.97
"839",1.06,"Very Good","G","VS2",60.1,58,6212,6.64,6.67,4
"840",0.9,"Very Good","F","SI1",59.6,63,3992,6.24,6.17,3.7
"841",0.7,"Very Good","F","VS2",61,59,2362,5.69,5.75,3.49
"842",0.72,"Very Good","G","SI1",63.1,57,2385,5.71,5.67,3.59
"843",0.47,"Very Good","D","VS1",59.5,61,1422,5.06,5.03,3.02
"844",0.71,"Very Good","H","SI1",62.5,60,2096,5.68,5.75,3.57
"845",0.7,"Very Good","G","VS1",61.4,55,2748,5.7,5.74,3.51
"846",0.5,"Very Good","E","VS2",62.4,57,1568,5.01,5.03,3.13
"847",1.01,"Very Good","E","VS2",61.1,62,6517,6.39,6.5,3.94
"848",2.33,"Very Good","J","VS2",61.8,59,14801,8.41,8.56,5.24
"849",0.7,"Very Good","E","SI2",62,60,2257,5.67,5.72,3.53
"850",0.3,"Very Good","G","VVS2",62.9,58,638,4.26,4.29,2.69
"851",0.4,"Very Good","G","SI1",59.2,61,702,4.78,4.81,2.84
"852",1.02,"Very Good","J","SI2",61.1,61,3601,6.44,6.5,3.95
"853",1.2,"Very Good","I","VS2",62.3,56,5955,6.76,6.81,4.23
"854",1.06,"Very Good","G","VS1",63.4,57,6595,6.48,6.45,4.1
"855",1.11,"Very Good","I","SI2",62.6,55,4168,6.65,6.71,4.18
"856",0.72,"Very Good","H","VS2",62.9,58,2396,5.7,5.75,3.6
"857",0.33,"Very Good","F","VVS1",60.1,56,841,4.53,4.56,2.73
"858",0.32,"Very Good","E","VS1",64,56,630,4.33,4.36,2.78
"859",2.03,"Very Good","I","VS2",61.4,59,15826,8.06,8.12,4.97
"860",1.22,"Very Good","E","VS2",59.5,60,9495,6.91,7,4.14
"861",1.01,"Very Good","E","SI2",63.3,58,4581,6.37,6.3,4.01
"862",0.46,"Very Good","F","VVS1",61.4,57,1657,4.95,4.99,3.05
"863",0.3,"Very Good","E","VVS2",59.7,57,622,4.37,4.43,2.62
"864",0.8,"Very Good","I","VS2",63.3,55,2414,5.88,5.93,3.74
"865",1.09,"Very Good","F","SI2",63.2,58,4853,6.54,6.49,4.12
"866",0.9,"Very Good","G","VS1",61.5,56,4116,6.15,6.2,3.8
"867",1.52,"Very Good","D","SI2",60.6,62,9389,7.37,7.42,4.48
"868",1.51,"Very Good","H","SI1",63.5,55,8541,7.31,7.22,4.61
"869",1.02,"Very Good","F","VS2",63.2,57,6659,6.34,6.41,4.03
"870",0.83,"Very Good","H","VS2",59.4,59,3276,6.08,6.11,3.62
"871",0.3,"Very Good","H","VVS2",61,61,605,4.3,4.32,2.63
"872",0.4,"Very Good","E","VS2",62.2,58,912,4.67,4.72,2.92
"873",0.91,"Very Good","G","VVS2",62.1,60,4913,6.14,6.19,3.83
"874",0.53,"Very Good","E","VS2",61.4,55,1607,5.21,5.24,3.21
"875",0.5,"Very Good","F","VVS2",62.8,55,2153,5,5.13,3.18
"876",0.23,"Very Good","E","VS2",60.8,58,402,3.97,4.05,2.44
"877",1.12,"Very Good","I","VS2",62.9,55.9,5249,6.59,6.62,4.16
"878",0.59,"Very Good","E","VS2",60.6,60,2094,5.44,5.49,3.31
"879",0.25,"Very Good","I","VVS2",62.1,56,500,4.03,4.05,2.51
"880",0.4,"Very Good","G","SI2",63.2,56,765,4.73,4.7,2.98
"881",0.5,"Very Good","H","IF",61,60,1799,5.08,5.12,3.11
"882",0.27,"Very Good","E","VVS1",61.1,55,667,4.18,4.27,2.58
"883",0.71,"Very Good","J","SI2",60.7,61,1805,5.75,5.81,3.51
"884",1.32,"Very Good","F","VS1",60.3,57,10575,7.08,7.12,4.28
"885",0.91,"Very Good","E","VS2",62.2,60,4759,6.13,6.21,3.84
"886",0.54,"Very Good","E","VS1",61.8,58,1889,5.23,5.28,3.25
"887",1.35,"Very Good","E","SI1",62.7,57,6860,7.01,7.05,4.41
"888",0.5,"Very Good","D","VS2",59.1,59,1703,5.19,5.24,3.08
"889",1.06,"Very Good","G","I1",60.7,63,2080,6.59,6.56,3.99
"890",0.75,"Very Good","F","VS1",57.9,62,3268,5.96,6,3.46
"891",0.31,"Very Good","E","SI1",62.8,57,544,4.32,4.34,2.72
"892",1.01,"Very Good","F","SI2",62.8,58,4119,6.31,6.36,3.98
"893",1.69,"Very Good","I","VVS2",60.4,59,12394,7.7,7.73,4.66
"894",1.34,"Very Good","H","VVS2",59.7,60,9735,7.19,7.22,4.3
"895",0.8,"Very Good","E","VS1",60.7,60,4118,6,6.09,3.67
"896",0.71,"Very Good","I","SI1",62.6,59,2218,5.67,5.7,3.56
"897",0.7,"Very Good","G","VS1",62.9,59,2212,5.56,5.63,3.52
"898",1.08,"Very Good","E","SI2",59.8,59,4415,6.65,6.73,4
"899",0.33,"Very Good","I","VS1",59.9,62,575,4.48,4.57,2.71
"900",0.61,"Very Good","G","VS2",63,58,1675,5.4,5.43,3.41
"901",0.52,"Very Good","G","VS2",63.3,57,1450,5.11,5.09,3.23
"902",0.9,"Very Good","I","VS2",63.2,54,3382,6.1,6.08,3.85
"903",0.76,"Very Good","F","VS2",62,58,2873,5.8,5.86,3.62
"904",0.3,"Very Good","D","VVS2",62.9,56,752,4.27,4.29,2.69
"905",0.38,"Very Good","D","VVS2",59.1,59.9,1225,4.71,4.75,2.79
"906",1.61,"Very Good","I","SI2",60.9,63,7636,7.5,7.54,4.58
"907",0.91,"Very Good","E","SI2",62.8,59,3876,6.1,6.16,3.85
"908",0.76,"Very Good","E","VS2",63.4,58,3517,5.76,5.82,3.67
"909",1.24,"Very Good","J","SI2",60.4,61,4737,6.85,6.92,4.16
"910",0.56,"Very Good","D","VVS1",62,56,2866,5.25,5.3,3.27
"911",1.65,"Very Good","H","VS1",62,58,12773,7.56,7.66,4.72
"912",0.27,"Very Good","G","VS1",61.9,56,439,4.13,4.16,2.56
"913",1.01,"Very Good","F","SI1",61,61,4899,6.44,6.47,3.94
"914",0.33,"Very Good","D","SI1",63.1,55,728,4.46,4.42,2.8
"915",0.28,"Very Good","G","VVS2",61.4,55,522,4.21,4.24,2.59
"916",0.5,"Very Good","E","VS1",61.7,57,1675,5.12,5.16,3.17
"917",1.04,"Very Good","E","SI2",60.9,59,4486,6.58,6.62,4.02
"918",0.29,"Very Good","E","VS1",58.9,56,504,4.35,4.37,2.57
"919",1.56,"Very Good","J","SI2",61.4,58,6662,7.4,7.45,4.56
"920",0.33,"Very Good","E","SI2",60,59,463,4.47,4.49,2.69
"921",0.7,"Very Good","H","SI2",62,59,2135,5.68,5.7,3.53
"922",1.02,"Very Good","D","SI1",63.2,58,5198,6.41,6.35,4.03
"923",0.71,"Very Good","H","SI1",63.5,57,2207,5.67,5.64,3.59
"924",1.78,"Very Good","D","SI2",63.4,60,10730,7.67,7.61,4.85
"925",2.03,"Very Good","I","VS1",63.2,60,15086,8.01,7.98,5.05
"926",1.01,"Very Good","I","SI2",61.4,63,3792,6.33,6.38,3.9
"927",1.5,"Very Good","F","SI1",63.4,58,10962,7.2,7.16,4.55
"928",0.71,"Very Good","E","VS1",61.6,59,3464,5.65,5.72,3.5
"929",0.72,"Very Good","G","SI1",63.6,56,2170,5.69,5.72,3.63
"930",0.9,"Very Good","E","VS2",62.2,56,4707,6.12,6.17,3.82
"931",0.41,"Very Good","G","VVS1",63.1,57,945,4.68,4.73,2.97
"932",0.33,"Very Good","F","VVS2",61.1,56,739,4.46,4.48,2.73
"933",0.34,"Very Good","H","SI1",63.3,56,628,4.46,4.45,2.82
"934",0.49,"Very Good","G","IF",59.7,56,1865,5.16,5.19,3.09
"935",0.52,"Very Good","G","VVS1",60.9,56,1913,5.18,5.24,3.17
"936",1.01,"Very Good","F","VVS2",62.5,63,7715,6.41,6.38,4
"937",1.21,"Very Good","I","SI2",62,56,5111,6.79,6.86,4.23
"938",0.5,"Very Good","E","SI1",61.4,63,1128,5.06,5.1,3.12
"939",0.5,"Very Good","G","VVS1",61.5,56,1843,5.11,5.14,3.15
"940",1.2,"Very Good","I","SI1",62.2,55,5408,6.75,6.92,4.25
"941",0.25,"Very Good","E","VVS1",62.3,55,633,4.04,4.06,2.52
"942",0.71,"Very Good","H","VS2",62.6,59,2395,5.66,5.68,3.55
"943",1.3,"Very Good","I","SI1",62.3,58,6302,6.93,6.96,4.33
"944",0.7,"Very Good","E","VS2",60.5,63,2737,5.74,5.7,3.46
"945",0.39,"Very Good","I","VVS2",62.7,58,817,4.65,4.67,2.92
"946",0.9,"Very Good","H","VS2",62.2,58,4157,6.11,6.18,3.82
"947",0.33,"Very Good","F","VS1",62.7,59,741,4.35,4.39,2.74
"948",1.21,"Very Good","J","SI1",61.6,59,4990,6.8,6.83,4.2
"949",0.9,"Very Good","H","VS1",62.6,55,3964,6.14,6.19,3.86
"950",0.26,"Very Good","G","VVS2",62.2,56,426,4.08,4.1,2.54
"951",0.71,"Very Good","G","VS2",62.1,58,2649,5.69,5.77,3.56
"952",0.6,"Very Good","G","VS1",61.6,56,1912,5.4,5.44,3.34
"953",0.23,"Very Good","E","VS2",62.5,59,373,3.91,3.96,2.46
"954",1.17,"Very Good","H","SI2",63.1,58,4455,6.72,6.64,4.22
"955",0.7,"Very Good","H","VVS2",62.6,57,2558,5.63,5.65,3.53
"956",1.01,"Very Good","E","SI1",63.1,58,5226,6.4,6.31,4.01
"957",1.51,"Very Good","I","SI1",62.6,60,8637,7.27,7.34,4.57
"958",0.23,"Very Good","D","SI2",63.5,57,449,3.87,3.85,2.45
"959",0.3,"Very Good","I","VVS2",60.1,63,526,4.28,4.31,2.58
"960",0.33,"Very Good","G","VS1",60.1,61,666,4.44,4.48,2.68
"961",0.41,"Very Good","E","VS1",59.8,61,1079,4.79,4.85,2.88
"962",0.3,"Very Good","G","VVS1",60.7,56,725,4.32,4.35,2.63
"963",1.18,"Very Good","F","VVS2",60.1,58,11430,6.88,6.92,4.15
"964",2.54,"Very Good","I","SI2",62.4,60,17996,8.58,8.73,5.4
"965",0.71,"Very Good","G","VS2",63.1,56,2462,5.58,5.77,3.58
"966",0.8,"Very Good","G","VS2",61.1,57,2929,6.01,6.07,3.69
"967",1.01,"Very Good","F","VS2",61.6,57,6773,6.39,6.46,3.96
"968",0.35,"Very Good","I","VS1",60.7,62,552,4.53,4.59,2.77
"969",0.36,"Very Good","H","VVS1",62,55,753,4.57,4.6,2.84
"970",0.27,"Very Good","G","VS1",61.9,56,439,4.14,4.17,2.57
"971",0.65,"Very Good","F","VS1",59.3,56,2406,5.64,5.76,3.37
"972",2.01,"Very Good","E","SI2",62,61,17024,8.04,8.1,5
"973",2,"Very Good","E","SI1",60.5,59,18709,8.09,8.14,4.94
"974",0.39,"Very Good","G","SI1",61.7,57,684,4.77,4.7,2.92
"975",0.5,"Very Good","E","VVS2",61.5,60,2132,5.04,5.08,3.11
"976",1.53,"Very Good","I","SI1",63.3,58,7971,7.26,7.31,4.61
"977",0.38,"Very Good","D","SI1",62.2,53.8,831,4.65,4.69,2.9
"978",0.29,"Very Good","G","VVS1",62,55,607,4.27,4.29,2.65
"979",1.09,"Very Good","G","IF",62.9,57,8650,6.52,6.58,4.12
"980",1.06,"Very Good","H","SI1",60.2,59,4900,6.6,6.55,3.96
"981",0.78,"Very Good","I","VVS2",61.4,56,2816,5.91,5.95,3.64
"982",1.01,"Very Good","I","VS1",63.1,56,4129,6.42,6.36,4.03
"983",2.09,"Very Good","I","SI2",63.1,60,13500,8.04,8.12,5.1
"984",0.33,"Very Good","E","VVS1",61.5,57,1103,4.44,4.48,2.75
"985",0.23,"Very Good","D","VVS2",61,59,530,3.95,3.98,2.42
"986",1.01,"Very Good","E","SI2",63.3,58,3674,6.4,6.31,4.02
"987",0.24,"Very Good","D","VVS2",61.3,58,485,3.99,4.03,2.46
"988",0.36,"Very Good","E","SI1",62.4,55,631,4.52,4.55,2.83
"989",1.01,"Very Good","G","VVS2",63.4,55,6968,6.41,6.34,4.04
"990",1,"Very Good","H","VS2",62.9,57,5121,6.31,6.35,3.98
"991",1.07,"Very Good","F","VS1",62,58,7118,6.57,6.59,4.08
"992",0.41,"Very Good","F","SI2",62.6,54,612,4.75,4.77,2.98
"993",0.73,"Very Good","D","SI1",63.1,57,2808,5.74,5.7,3.61
"994",2.01,"Very Good","H","SI1",62.2,60,17434,8.05,8,4.99
"995",0.3,"Very Good","G","VS1",61.4,58,605,4.32,4.35,2.66
"996",0.7,"Very Good","F","VS2",63.9,59,2552,5.56,5.61,3.57
"997",1.12,"Very Good","G","SI2",63.4,57,3700,6.51,6.47,4.12
"998",1,"Very Good","D","SI2",63.5,59,4295,6.35,6.32,4.02
"999",1.21,"Very Good","H","VS2",62.8,57,6684,6.77,6.82,4.27
"1000",0.7,"Very Good","I","VVS2",58.6,60,2106,5.79,5.91,3.43
